"year","month","temperature","precipitation"
2008,7,26.5520241984885,0.00453001592356688
2008,8,25.5451536054772,0.0207115086061424
2008,9,24.53127503125,8.81944444444445e-05
2008,10,17.9429799566356,0.00545859056493885
2008,11,13.3550853681713,0.00607633163501621
2008,12,13.3518710949344,0.0106833146193577
2009,1,10.6981416001877,0.00331160394265233
2009,2,11.4573970547842,0.00679161706349206
2009,3,15.6525282975851,0.017758064516129
2009,4,18.712561430787,0.0100127314814815
2009,5,22.7805670497312,0.00512652329749104
2009,6,27.516623349537,0.00344532407407407
2009,7,25.8645555600358,0.00828463261648745
2009,8,25.49771578181,0.00823933691756272
2009,9,24.7347671967593,0.00613268518518519
2009,10,20.1345474612455,0.00585479390681004
2009,11,14.2903445069444,0.00308671296296296
2009,12,10.0035772016929,0.01207979390681
2010,1,7.23478986746416,0.0106289874551971
2010,2,7.4804810153812,0.00554985119047619
2010,3,12.9572118365233,0.0045804211469534
2010,4,19.9619257803241,0.00586212962962963
2010,5,24.3362009251792,0.00637275985663082
2010,6,27.2819078680556,0.00627953703703704
2010,7,27.9775238060036,0.00229874551971326
2010,8,27.1978395519713,0.0081366935483871
2010,9,26.1476878240741,0.00229310185185185
2010,10,20.5694900288978,0.000455197132616487
2010,11,15.3135807095602,0.0061912962962963
2010,12,6.83890812866443,0.00099005376344086
2011,1,7.50187108254279,0.00608817204301075
2011,2,12.5399593096627,0.00772321428571429
2011,3,16.5632272213262,0.00615076164874552
2011,4,21.0624912238426,0.00215189814814815
2011,5,23.7152611604302,0.00036415770609319
2011,6,27.8936434791667,0.0032750462962963
2011,7,27.1502126008065,0.00900170250896057
2011,8,28.0986619489247,0.00337423835125448
2011,9,23.9266823865741,0.00350425925925926
2011,10,18.3525515966838,0.00271980286738351
2011,11,15.5232715844907,0.00204023148148148
2011,12,13.014252653349,0.00393745519713262
2012,1,12.7591438470271,0.00429018817204301
2012,2,13.1444011237763,0.0049816091954023
2012,3,19.7420890961022,0.0081195788530466
2012,4,20.0195970907407,0.00529157407407407
2012,5,23.9010568974014,0.0045747311827957
2012,6,24.9284511111111,0.00765112294512619
2012,7,26.7238576232079,0.00543982974910394
2012,8,25.2821642316308,0.00901904121863799
2012,9,24.0458053541667,0.00562106481481481
2012,10,19.1856216503136,0.00138866233475241
2012,11,13.825464181713,0.0021225462962963
2012,12,12.6390810831944,0.0066915770609319
2013,1,13.8743233252352,0.00218521505376344
2013,2,11.8906176410205,0.024247619047619
2013,3,12.2751419238299,0.00422763954270343
2013,4,18.8552212458333,0.00407613754775964
2013,5,21.9311002758737,0.00124610215053763
2013,6,25.2346435669674,0.01217120055517
2013,7,24.7885709711021,0.0140829301075269
2013,8,25.6677332325269,0.0152488067226891
2013,9,24.4259510347222,0.002778125
2013,10,20.1293574344758,0.00071451114922813
2013,11,13.749330039816,0.00562694444444444
2013,12,12.9781990309946,0.00627529411764706
2014,1,6.56650696108064,0.00384072580645161
2014,2,12.2985817939881,0.00908102678571429
2014,3,13.7355923413978,0.00926055107526882
2014,4,18.7007123972222,0.0156193055555556
2014,5,22.7694699697581,0.00605954301075269
2014,6,25.6484609513889,0.00594409722222222
